title,generatedtitle,description,publication_date,posting_type,parking_lot,bathrooms,half_bathrooms,price,bedrooms,age,property_dimension(sqft),address,pictures,property_type,operation_type,zone,city,postingid,postingcode,publisherid,premier,url
Departamento · 350m² · 3 recámaras · 3 estacionamientos,Departamento · 350m² · 3 recámaras · 3 estacionamientos,"Extraordinaria ubicación, vista boscosa, naturalmente iluminado, sin ruidos y gran distribución para una increíble vida familiar y social. Ideal para remodelar y tener un departamento que lo tenga todo lo que una familia puede pedir. <br /><br />Desarrollo con vigilancia 24 hrs, alberca techada, cancha de tenis, salón de eventos, Gym, jardín con juegos infantiles. <br /><br />3 recámaras con baño completo. La principal con Walk in Closet <br />Baño de visitas. <br />Hall de entrada. <br />Sala / Comedor integrados en espacio abierto. <br />Cocina. <br />Antecomedor. <br />Cuarto de lavado con espacio para tendido. <br />Dos cuartos de servicio. <br />3 lugares de estacionamiento en el mismo nivel del departamento. <br /><br />Nota: una recámara actualmente está adaptada como estudio. <br /><br />Lomas de Chapultepec, Miguel Hidalgo. EasyBroker ID: EB-NX7039<br /><br />Corner Brokers es una empresa formada por expertos inmobiliarios en el segmento residencial y hotelero, apasionados por ofrecer a cada cliente lo que necesita para lograr sus objetivos inmobiliarios.<br /><br />En el sector residencial la empresa se especializa en las zonas del norte y poniente del área metropolitana de la Ciudad de México: especialmente en Ciudad Satélite, La Herradura (en todas sus secciones) e Interlomas.<br /><br />Estamos convencidos que trabajando y cooperando de la mano con otras inmobiliarias agregamos valor a nuestra empresa, a nuestros clientes y fortalecemos la industria de bienes raíces.",2024-01-30T00:34:52Z,PROPERTY,3,3,1,"16,475,000",3,40,350,Sierra Chalchihui 235,"https://img10.naventcdn.com/avisos/resize/18/01/42/49/12/88/1200x1200/1407447280.jpg?isFirstImage=true, https://img10.naventcdn.com/avisos/resize/18/01/42/49/12/88/1200x1200/1407447265.jpg, https://img10.naventcdn.com/avisos/resize/18/01/42/49/12/88/1200x1200/1407447267.jpg, https://img10.naventcdn.com/avisos/resize/18/01/42/49/12/88/1200x1200/1407447268.jpg, https://img10.naventcdn.com/avisos/resize/18/01/42/49/12/88/1200x1200/1407447262.jpg, https://img10.naventcdn.com/avisos/resize/18/01/42/49/12/88/1200x1200/1407447272.jpg, https://img10.naventcdn.com/avisos/resize/18/01/42/49/12/88/1200x1200/1407447276.jpg, https://img10.naventcdn.com/avisos/resize/18/01/42/49/12/88/1200x1200/1407447266.jpg, https://img10.naventcdn.com/avisos/resize/18/01/42/49/12/88/1200x1200/1407447274.jpg, https://img10.naventcdn.com/avisos/resize/18/01/42/49/12/88/1200x1200/1407447269.jpg, https://img10.naventcdn.com/avisos/resize/18/01/42/49/12/88/1200x1200/1407447278.jpg, https://img10.naventcdn.com/avisos/resize/18/01/42/49/12/88/1200x1200/1407447281.jpg, https://img10.naventcdn.com/avisos/resize/18/01/42/49/12/88/1200x1200/1407447277.jpg, https://img10.naventcdn.com/avisos/resize/18/01/42/49/12/88/1200x1200/1407447273.jpg, https://img10.naventcdn.com/avisos/resize/18/01/42/49/12/88/1200x1200/1407447263.jpg, https://img10.naventcdn.com/avisos/resize/18/01/42/49/12/88/1200x1200/1407447275.jpg, https://img10.naventcdn.com/avisos/resize/18/01/42/49/12/88/1200x1200/1407447271.jpg, https://img10.naventcdn.com/avisos/resize/18/01/42/49/12/88/1200x1200/1407447291.jpg",Apartamento,venta,Miguel Hidalgo,Ciudad de México,142491288,EB-NX7039::I24-M-90621278,50278050,true,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-venta-lomas-de-chapultepec-sierra-142491288.html
Departamento · 64m² · 2 recámaras · 1 estacionamiento,Departamento · 64m² · 2 recámaras · 1 estacionamiento,Ref: NEX-<span class=,2023-06-29T02:10:21Z,PROPERTY,1,2,0,"2,526,000",2,9,64,"170, lago guija","https://img10.naventcdn.com/avisos/resize/18/00/90/36/19/13/1200x1200/1321176690.jpg?isFirstImage=true, https://img10.naventcdn.com/avisos/resize/18/00/90/36/19/13/1200x1200/1134695029.jpg, https://img10.naventcdn.com/avisos/resize/18/00/90/36/19/13/1200x1200/1134695026.jpg, https://img10.naventcdn.com/avisos/resize/18/00/90/36/19/13/1200x1200/1321176695.jpg, https://img10.naventcdn.com/avisos/resize/18/00/90/36/19/13/1200x1200/1321176700.jpg, https://img10.naventcdn.com/avisos/resize/18/00/90/36/19/13/1200x1200/1321176699.jpg, https://img10.naventcdn.com/avisos/resize/18/00/90/36/19/13/1200x1200/1321176694.jpg, https://img10.naventcdn.com/avisos/resize/18/00/90/36/19/13/1200x1200/1321176687.jpg, https://img10.naventcdn.com/avisos/resize/18/00/90/36/19/13/1200x1200/1321176692.jpg, https://img10.naventcdn.com/avisos/resize/18/00/90/36/19/13/1200x1200/1321176696.jpg, https://img10.naventcdn.com/avisos/resize/18/00/90/36/19/13/1200x1200/1321176693.jpg, https://img10.naventcdn.com/avisos/resize/18/00/90/36/19/13/1200x1200/1321176688.jpg, https://img10.naventcdn.com/avisos/resize/18/00/90/36/19/13/1200x1200/1321176691.jpg",Apartamento,venta,Miguel Hidalgo,Ciudad de México,90361913,NEX-175444,50986393,true,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-venta-en-tacuba-miguel-hidalgo-90361913.html
"Casa de 6 habitaciones, Miguel Hidalgo","Casa de 6 habitaciones, Miguel Hidalgo","¡OPORTUNIDAD DE INVERSIÓN! CASA PARA REMODELAR O DEMOLER Y CONSTRUIR USO DE SUELO H-05, CON DOS FRENTES UNA POR MONTE CASINO Y OTRA POR CALLE TOPILEJO. 2 NIVELES CONSTRUIDOS CUENTA CON: SALA-COMEDOR, COCINA, PATIO TRASERO, 6 RECÁMARAS Y 4 BAÑOS COMPLETOS, MÁS AZOTEA. UBICADA EN UNA BUENA CALLE CASI ESQ. CON FERNANDO ALENCASTRE, MUY CERCA DEL BOSQUE DE CHAPULTEPEC. A 10 MIN. DEL COLEGIO SIERRA NEVADA Y 5 MIN. DE MÉDICA SUR. (RCV5027N)(EB-QC1589)",2024-04-29T20:17:35Z,PROPERTY,1,4,0,"14,000,000",6,70,181,Monte Casino 115,"https://img10.naventcdn.com/avisos/resize/18/01/43/40/31/90/1200x1200/1458075476.jpg?isFirstImage=true, https://img10.naventcdn.com/avisos/resize/18/01/43/40/31/90/1200x1200/1458075481.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/40/31/90/1200x1200/1458075480.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/40/31/90/1200x1200/1458075468.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/40/31/90/1200x1200/1458075478.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/40/31/90/1200x1200/1458075474.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/40/31/90/1200x1200/1458075465.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/40/31/90/1200x1200/1458075473.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/40/31/90/1200x1200/1458075482.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/40/31/90/1200x1200/1458075475.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/40/31/90/1200x1200/1458075484.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/40/31/90/1200x1200/1458075471.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/40/31/90/1200x1200/1458075477.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/40/31/90/1200x1200/1458075464.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/40/31/90/1200x1200/1458075470.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/40/31/90/1200x1200/1458075472.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/40/31/90/1200x1200/1458075469.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/40/31/90/1200x1200/1458075479.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/40/31/90/1200x1200/1458075466.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/40/31/90/1200x1200/1458075467.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/40/31/90/1200x1200/1458075483.jpg",Casa,venta,Miguel Hidalgo,Ciudad de México,143403190,EB-QC1589,19858,true,https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-venta-monte-casino-lomas-virreyes-miguel-143403190.html
"Oficina , Miguel Hidalgo","Oficina , Miguel Hidalgo","Edificio nuevo en Obra Gris <br><br>Piso 4 con 1,707 m2 <br>Piso 5 con 1,707 m2 <br>Piso 6 con 1,707 m2 <br>No divisible <br><br>- Edificio nuevo con 12 pisos <br>- Planta de Luz en áreas comunes, detectores de incendio, bodegas en sotano. <br>- Restaurantes, cafeterías, Auditorio (80 personas) y Roof Garden en área común. <br>- Aire acondicionado. <br>- Certificación Leed Gold <br>- Valet parking <br>- 8 Elevadores y montacargas <br>- Mantenimiento $85 mxn m2 <br>- 1 estacionamiento x c/ 30, 70 lugares x bicicletas, área de regaderas <br><br>Mantenimiento $85 mxn m2 <br>Precio $ 460 mxn m2",2023-07-16T02:17:55Z,PROPERTY,1,,0,460,3,1,2000,Blvd. Manuel Ávila Camacho 201,"https://img10.naventcdn.com/avisos/resize/18/00/90/59/52/32/1200x1200/1100152424.jpg?isFirstImage=true, https://img10.naventcdn.com/avisos/resize/18/00/90/59/52/32/1200x1200/1100152417.jpg, https://img10.naventcdn.com/avisos/resize/18/00/90/59/52/32/1200x1200/1100152422.jpg, https://img10.naventcdn.com/avisos/resize/18/00/90/59/52/32/1200x1200/1100152418.jpg, https://img10.naventcdn.com/avisos/resize/18/00/90/59/52/32/1200x1200/1100152419.jpg, https://img10.naventcdn.com/avisos/resize/18/00/90/59/52/32/1200x1200/1100152420.jpg, https://img10.naventcdn.com/avisos/resize/18/00/90/59/52/32/1200x1200/1100152421.jpg, https://img10.naventcdn.com/avisos/resize/18/00/90/59/52/32/1200x1200/1100152426.jpg, https://img10.naventcdn.com/avisos/resize/18/00/90/59/52/32/1200x1200/1100152423.jpg, https://img10.naventcdn.com/avisos/resize/18/00/90/59/52/32/1200x1200/1100152427.jpg, https://img10.naventcdn.com/avisos/resize/18/00/90/59/52/32/1200x1200/1100152428.jpg, https://img10.naventcdn.com/avisos/resize/18/00/90/59/52/32/1200x1200/1100152425.jpg",Oficina comercial,renta,Miguel Hidalgo,Ciudad de México,90595232,WORK2,21355,true,https://www.inmuebles24.com/propiedades/clasificado/alclocin-oficina-en-renta-polanco-piso-6-con-1707-m-sup2-90595232.html
"Departamento de 2 habitaciones, Miguel Hidalgo","Departamento de 2 habitaciones, Miguel Hidalgo","Precio de Venta: $10,300,000 pesos <br>Precio de Renta: $2,800 USD <br><br>Características Principales: <br>- Superficie: 150 m² <br>- Habitaciones: 2 amplias recámaras <br>- Baños: 2.5 baños modernos <br>- Estacionamiento: 2 lugares asignados <br>- Amueblado: Totalmente amueblado con muebles de alta calidad <br>- Climatización: Aire acondicionado en recamara principal y sala. <br>Ubicación: En el corazón de Polanco, con acceso a las mejores tiendas, restaurantes y servicios de la zona. <br>- Oportunidad de Inversión: Perfecto tanto para quienes buscan una nueva residencia como para inversionistas que desean una propiedad rentable. <br><br>¡No pierdas la oportunidad de vivir o invertir en uno de los barrios más exclusivos de la Ciudad de México! Contáctanos hoy mismo para programar una visita y descubrir todo lo que este magnífico departamento tiene para ofrecerte",2024-05-27T16:16:08Z,PROPERTY,2,2,1,"10,300,000",2,15,150,"Lamartine 121 Polanco, Polanco V Secc, Miguel Hidalgo, 11560 Ciudad de México, CDMX","https://img10.naventcdn.com/avisos/resize/18/01/43/64/19/08/1200x1200/1464204154.jpg?isFirstImage=true, https://img10.naventcdn.com/avisos/resize/18/01/43/64/19/08/1200x1200/1464204149.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/64/19/08/1200x1200/1464204152.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/64/19/08/1200x1200/1464204145.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/64/19/08/1200x1200/1464204151.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/64/19/08/1200x1200/1464204147.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/64/19/08/1200x1200/1464204150.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/64/19/08/1200x1200/1464204142.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/64/19/08/1200x1200/1464204148.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/64/19/08/1200x1200/1464204140.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/64/19/08/1200x1200/1464204143.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/64/19/08/1200x1200/1464204144.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/64/19/08/1200x1200/1464204153.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/64/19/08/1200x1200/1464204141.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/64/19/08/1200x1200/1464204146.jpg",Apartamento,venta,Miguel Hidalgo,Ciudad de México,143641908,5RA23I,51321948,true,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-venta-o-renta-en-lamartine-polanco-143641908.html
"Departamento de 2 habitaciones, Miguel Hidalgo","Departamento de 2 habitaciones, Miguel Hidalgo","Este apartamento totalmente amueblado y listo para entrar a vivir está disponible desde el 02-08-2024 <br>Asesores inmobiliarios, compartimos comisión. <br>Se puede emitir factura. <br>Para ser atendido en inglés, marca el número de nuestra oficina. <br><br>Ofrecemos precios personalizados para cualquier duración. Las tarifas pueden variar en función de las fechas exactas de entrada y salida. <br><br>La tarifa para esta vivienda comienza en $<span class=",2024-06-06T16:05:03Z,PROPERTY,1,2,0,"62,300",2,6,112," Juan Vazquez de Mella 429, Polanco, Polanco I Secc, Miguel Hidalgo","https://img10.naventcdn.com/avisos/resize/18/01/43/73/75/72/1200x1200/1466522159.jpg?isFirstImage=true, https://img10.naventcdn.com/avisos/resize/18/01/43/73/75/72/1200x1200/1466522171.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/73/75/72/1200x1200/1466522164.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/73/75/72/1200x1200/1466522160.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/73/75/72/1200x1200/1466522161.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/73/75/72/1200x1200/1466522166.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/73/75/72/1200x1200/1466522173.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/73/75/72/1200x1200/1466522158.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/73/75/72/1200x1200/1466522167.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/73/75/72/1200x1200/1466522162.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/73/75/72/1200x1200/1466522163.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/73/75/72/1200x1200/1466522172.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/73/75/72/1200x1200/1466522168.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/73/75/72/1200x1200/1466522170.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/73/75/72/1200x1200/1466522165.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/73/75/72/1200x1200/1466522169.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/73/75/72/1200x1200/1466522157.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/73/75/72/1200x1200/1466522174.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/73/75/72/1200x1200/1466522175.jpg",Apartamento,renta,Miguel Hidalgo,Ciudad de México,143737572,MEX83,102309610,true,https://www.inmuebles24.com/propiedades/clasificado/alclapin-polanco-depa-amueblado-2-recamaras-2-banos-security-143737572.html
Casa · 290m² · 3 recámaras · 3 estacionamientos,Casa · 290m² · 3 recámaras · 3 estacionamientos,"¡Renta rápido, fácil y sin aval! <br />Agenda ahora una visita usando los botones al costado.<br /><br />- Renta: $ <span class=",2024-04-18T01:25:17Z,PROPERTY,3,4,0,"59,000",3,0,290,Sierra Candela,"https://img10.naventcdn.com/avisos/resize/18/01/43/30/04/87/1200x1200/1474533904.jpg?isFirstImage=true, https://img10.naventcdn.com/avisos/resize/18/01/43/30/04/87/1200x1200/1458867792.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/30/04/87/1200x1200/1474535223.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/30/04/87/1200x1200/1469665760.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/30/04/87/1200x1200/1454956743.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/30/04/87/1200x1200/1466172781.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/30/04/87/1200x1200/1471022132.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/30/04/87/1200x1200/1465483955.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/30/04/87/1200x1200/1471022320.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/30/04/87/1200x1200/1474533903.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/30/04/87/1200x1200/1459298215.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/30/04/87/1200x1200/1467013849.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/30/04/87/1200x1200/1454956734.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/30/04/87/1200x1200/1474566931.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/30/04/87/1200x1200/1469832790.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/30/04/87/1200x1200/1470122194.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/30/04/87/1200x1200/1469832723.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/30/04/87/1200x1200/1474034813.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/30/04/87/1200x1200/1465199681.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/30/04/87/1200x1200/1467013848.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/30/04/87/1200x1200/1454956746.jpg",Casa,renta,Miguel Hidalgo,Ciudad de México,143300487,894459947,51288591,true,https://www.inmuebles24.com/propiedades/clasificado/alclcain-casa-lomas-de-chapultepec-143300487.html
Casa · 968m² · 4 recámaras · 10 estacionamientos,Casa · 968m² · 4 recámaras · 10 estacionamientos,"Caseta de vigilancia con baño y regadera <br />Espejo de agua , estacionamiento para 10 coches , con tres bodegas , espacio de bicis y motos, cuarto de basura que conecta a la cocina , sistema de captación de aguas pluviales con dos cisternas (la de captación para riego y escusados) , espacio de oficina , cuarto de máquinas , filtros de agua, calefacción, caldera, planta de emergencia de luz, doc cuartos de servicio con baño completo con ventilación y luz natural , cuarto de lavandería con terraza <br /><br />PB<br /><br />Cocina con antecomedro que se integra a una terraza amplia con pared verde. Sub zero, de vinos y refrigerados con patilla wolf y hornos marca wolf y Miele. <br /><br />Terraza con pisos de madera natural, sala comedor amplios con ventanales que se integran a la terraza. <br /><br />Luces - lutron. <br /><br />Sistema de audio <br /><br />Vestíbulo con triple altura <br /><br />Baño de visitas y closet<br /><br />Family room con terraza <br /><br />Cuarto multiuso sin ventanas<br /><br />Oficina con vista a la terraza con pared de cascada y jardines verticales<br /><br />Planta alta : sube a  el vestíbulo de doble altura dando mucha luz natural las 24 horas del día, además tienes un proyecto de vegetación interior. El cuarto de TV familiar de integra al vestíbulo principal.<br /><br />Cuarto principal con ventanales y vistas verdes a la cañada (zona federal) tienes un baño completo con ventilación natural y vestidor y otro segundo baño principal igual con ventanales y ventilación natural, vestidor walk in, tocador, ventilación a terraza interior.<br /><br />Secundaria con terraza y vistas verdes , vestidor completo, duomo luz natural y ventilación natural , <br /><br />Tercera con balcón y vistas , vestidor walk in con baño ventilación y luz natural <br /><br />Cuarta - con balcón y vistas , vestidor walk in con baño ventilación y luz natural <br /><br />Canceleria duo vent* , buenas alturas<br /><br />Cuarto piso: terraza con vistas verdes, espacio amplio de gimnasio con vistas al bosque",2023-11-29T01:03:23Z,PROPERTY,10,,0,"5,000,000",4,0,968,Casa en Venta en Lomas de Chapultepec,"https://img10.naventcdn.com/avisos/resize/18/01/42/00/52/66/1200x1200/1149289914.jpg?isFirstImage=true, https://img10.naventcdn.com/avisos/resize/18/01/42/00/52/66/1200x1200/1149289922.jpg, https://img10.naventcdn.com/avisos/resize/18/01/42/00/52/66/1200x1200/1149289921.jpg, https://img10.naventcdn.com/avisos/resize/18/01/42/00/52/66/1200x1200/1149289940.jpg, https://img10.naventcdn.com/avisos/resize/18/01/42/00/52/66/1200x1200/1149289900.jpg, https://img10.naventcdn.com/avisos/resize/18/01/42/00/52/66/1200x1200/1149290076.jpg, https://img10.naventcdn.com/avisos/resize/18/01/42/00/52/66/1200x1200/1149289938.jpg, https://img10.naventcdn.com/avisos/resize/18/01/42/00/52/66/1200x1200/1149289869.jpg, https://img10.naventcdn.com/avisos/resize/18/01/42/00/52/66/1200x1200/1149289908.jpg, https://img10.naventcdn.com/avisos/resize/18/01/42/00/52/66/1200x1200/1149289901.jpg, https://img10.naventcdn.com/avisos/resize/18/01/42/00/52/66/1200x1200/1149289898.jpg, https://img10.naventcdn.com/avisos/resize/18/01/42/00/52/66/1200x1200/1149289936.jpg",Casa,venta,Miguel Hidalgo,Ciudad de México,142005266,EB-NT7533,50308863,true,https://www.inmuebles24.com/propiedades/clasificado/veclcain-espectacular-casa-en-venta-en-las-lomas-de-chapultepec-142005266.html
"Departamento de 3 habitaciones, Miguel Hidalgo","Departamento de 3 habitaciones, Miguel Hidalgo","Se vende un espectacular Penthouse en Polanco que ofrece un estilo de vida único. El lugar está inmerso en tranquilidad, exclusividad y áreas verdes, perfecto para crear momentos memorables con familia y amigos. <br><br>Características: <br><br>Amplios espacios con abundante luz natural y una distribución inteligente que maximiza el confort. <br>Tres acogedoras recámaras, cada una con baño privado, ofreciendo privacidad y comodidad para la familia. <br>Cuatro baños en total, incluyendo dos medios baños para mayor conveniencia de visitas, con diseño moderno y funcional. <br>Terraza privada para relajarse al aire libre y disfrutar del sol, ideal para momentos de descanso y desconexión. <br>Roof garden privado que se puede convertir en un escenario perfecto para eventos y celebraciones, con una vista espectacular y área orgánica con riego por goteo. <br>Ubicación: <br><br>Cerca de centros comerciales, parques y transporte público, con fácil acceso a las principales vialidades de la ciudad. <br>Zona tranquila y segura, ideal para la familia, con vigilancia las 24 horas y cuatro lugares de estacionamiento. <br>No pierdas la oportunidad de vivir en este Penthouse. ¡Contáctanos hoy mismo para descubrir tu nuevo hogar!",2024-04-12T19:05:24Z,PROPERTY,4,3,0,"33,000,000",3,6,353,Galileo 119,"https://img10.naventcdn.com/avisos/resize/18/01/43/25/76/92/1200x1200/1453798305.jpg?isFirstImage=true, https://img10.naventcdn.com/avisos/resize/18/01/43/25/76/92/1200x1200/1453798307.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/25/76/92/1200x1200/1453798321.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/25/76/92/1200x1200/1453798303.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/25/76/92/1200x1200/1453798304.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/25/76/92/1200x1200/1453798310.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/25/76/92/1200x1200/1453798319.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/25/76/92/1200x1200/1453798308.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/25/76/92/1200x1200/1453798316.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/25/76/92/1200x1200/1453798313.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/25/76/92/1200x1200/1453798311.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/25/76/92/1200x1200/1453798318.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/25/76/92/1200x1200/1453798302.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/25/76/92/1200x1200/1453798309.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/25/76/92/1200x1200/1453798317.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/25/76/92/1200x1200/1453798306.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/25/76/92/1200x1200/1453798314.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/25/76/92/1200x1200/1453798312.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/25/76/92/1200x1200/1453798320.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/25/76/92/1200x1200/1453798315.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/25/76/92/1200x1200/1453798332.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/25/76/92/1200x1200/1453798333.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/25/76/92/1200x1200/1453798334.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/25/76/92/1200x1200/1453798335.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/25/76/92/1200x1200/1453798336.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/25/76/92/1200x1200/1453798337.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/25/76/92/1200x1200/1453798338.jpg",Apartamento,venta,Miguel Hidalgo,Ciudad de México,143257692,5QPP6C,102239933,true,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-venta-polanco-143257692.html
Entrada Principal,Entrada Principal,"Oficinas en Renta Colonia Irrigación <br>Con 558 metros de construcción en esquina, amplios e iluminados espacios, en una ubicación inmejorable, a pocas calles del periférico en importante vialidad como lo es Legaria, te ofrece la siguiente distribución. <br>PLANTA BAJA* <br>- Estacionamiento interno: 6 autos <br>- Estacionamiento externo (pie de calle): 9 autos <br>- Caseta de vigilancia con 1/2 baño <br>- Recibidor <br>- 2 espacios grandes para cubículos <br>- 2 módulos de baños de hombre y mujer <br><br>*PRIMER PISO* <br>- 1 oficina grande con baño completo <br>- 4 oficinas <br>- 2 módulos de baño de hombre y mujer <br><br>*PISO DOS* <br>- Amplia área abierta para comedor o capacitaciones <br>- Cocina con barra y tarja <br>- 2 módulos de baños de hombre y mujer <br>- Cuarto con tarja que conecta a la azotea <br>- Bodega con baño completo",2024-05-14T01:05:47Z,PROPERTY,0,2,0,"198,000",3,20,N/A,Presa Valsequillo Colonia Irrrigación,"https://img10.naventcdn.com/avisos/resize/18/01/43/52/04/86/1200x1200/1461076318.jpg?isFirstImage=true, https://img10.naventcdn.com/avisos/resize/18/01/43/52/04/86/1200x1200/1461076316.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/52/04/86/1200x1200/1461076326.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/52/04/86/1200x1200/1461076319.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/52/04/86/1200x1200/1461076320.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/52/04/86/1200x1200/1461076327.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/52/04/86/1200x1200/1461076323.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/52/04/86/1200x1200/1461076328.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/52/04/86/1200x1200/1461076322.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/52/04/86/1200x1200/1461076317.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/52/04/86/1200x1200/1461076321.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/52/04/86/1200x1200/1461076324.jpg, https://img10.naventcdn.com/avisos/resize/18/01/43/52/04/86/1200x1200/1461076325.jpg",Oficina comercial,renta,Miguel Hidalgo,Ciudad de México,143520486,5R5H66,102239933,true,https://www.inmuebles24.com/propiedades/clasificado/alclocin-oficinas-en-renta-en-irrigacion-143520486.html
